CAMPAIGN introduction           =Introduction
TUTORIAL tree 3                 =An {BLOCK arc_furnace} can light leaves on fire. The fire will rapidly destroy all connected leaves.

TUTORIAL chair 1                =When sitting in a {BLOCK chair} [down], time will seem to pass by more quickly. Keep in mind that working on something else is usually better than waiting around.

TEMPLATE_WORLD movement_and_cores=Movement and Cores

TUTORIAL push 1                 =Gravity and some blocks can push individual blocks or welded structures.
#"structure" as in a cluster of blocks welded together
TUTORIAL roller 1               =When the center of a {BLOCK roller} isn't fixed to anything, it will spin freely, effectively disabling the {BLOCK roller}.
TUTORIAL roller 2               ={BLOCK roller|^s} moving in opposition won't push each-other. {BLOCK roller|^s} can't get traction on powder.
TUTORIAL roller 3               =Blocks immune to gravity won't get traction on top of a {BLOCK roller}.
TUTORIAL roller 4               ={BLOCK roller|^s} can push blocks in other directions, if they are clamped together.
TUTORIAL roller 5               ={BLOCK roller|^s} can get traction for an instant when a block slams into it.

TUTORIAL core 1                 =Some cores and {BLOCK residue} can resist some types of movement.
TUTORIAL core 2                 ={BLOCK refined_core|s^}, {BLOCK boundary|s}, {BLOCK spawner|s}, recently placed bocks, and some naturally generated {BLOCK stone} cannot move at all. Note that you cannot pick up {BLOCK spawner|s}.
TUTORIAL core 3                 ={BLOCK raw_core|s^} always move with other {BLOCK raw_core|s} 3 blocks away. The {BLOCK telecross} also moves with raw core grids.

TUTORIAL push 2                 =Competing forces are decided by update order. Gravity is always applied last.
TUTORIAL push 3                 =Update order is often arbitrary, but never random (unless interacting with random blocks like trees, {BLOCK sand}, {BLOCK water}).
TUTORIAL push 4                 =In this example, the {BLOCK roller} or the {BLOCK magnet} could both simultaneously move the block. If there is an update race like this, the race might be decided by orientation, save/loading, recent movements, or the order a machine was built.
TUTORIAL push 5                 =I hope these frustrating situations are mostly avoidable, and being an early access game, these behaviors can change in future updates. The "debug_draw" cheat can sometimes help for now.
#this has a more casual tone than other tutorial messages. "I" am working on developing the early access game

TUTORIAL chair 2                =With {BLOCK roller|s} and a {BLOCK chair_pilot}, you can build a vehicle.

TEMPLATE_WORLD water            =Water

TUTORIAL water 1                ={BLOCK water|^} will flow to always be a consistent volume.
TUTORIAL water 2                ={BLOCK water|^} will try to take the path of least resistance.
TUTORIAL water 3                =Most blocks will sink in {BLOCK water}. Dry {BLOCK foam} does not.
TUTORIAL water 4                =When {BLOCK foam} is forced under {BLOCK water}, it becomes {BLOCK_STATE wet}. This may or may not consume the above {BLOCK water}, depending on a random chance.
TUTORIAL water 5                ={BLOCK water|^} can be extracted from {BLOCK_STATE wet} {BLOCK foam}. This {BLOCK foam} cycle will eventually produce new {BLOCK water}.

TEMPLATE_WORLD automation       =Automation

TUTORIAL automation 1           =You may find yourself repeating some tasks.
TUTORIAL building 20            =When dealing with many individual blocks, use [hud_slot0] to holster your hand and [pick_block] to quickly pick a block.
TUTORIAL automation 2           =Different designs might be cheaper, or smaller, or easier to build, or able to handle inconsistent supply, or faster to turn on/off, or movable, etc.
TUTORIAL freeze vein            =When you first place an {BLOCK iron_vein}, it will be frozen and cannot be extracted or otherwise interacted. Move or duck [+down] to unfreeze.

TEMPLATE_WORLD research         =Research

TUTORIAL research 1             =Many recipes [open_guidebook] will not initially be available.
TUTORIAL research 2             =Press [open_research] to view the research tree.
TUTORIAL research 3             =If a research is available, the {BLOCK collector} will collect. Put 10 sand in the {BLOCK collector}.
TUTORIAL research 4             =Research objectives can unlock recipes and passive player upgrades. Unlock {RESEARCH rubber} with 5 {BLOCK pulp} and upgrade your jump height.
TUTORIAL research 5             =The research tree menu [open_research] is only a guide. You select what research to unlock simply by putting correct materials in the {BLOCK collector}.
TUTORIAL research 6             =Try to unlock everything! Advanced research will require a large amount of materials. Automate it.

TEMPLATE_WORLD demo_world=Demo World

DEMO intro                      =Here you can quickly go through the research tree [open_research] up to {RESEARCH automated_crafting}
DEMO matcher_furnace            =Can you fix this automatic furnace? Remember you can see the function of a block with [open_guidebook_hover]
#automatic arc furnace
DEMO automate                   =There should be enough here to build some machines to automate 100 {BLOCK copper_bar|s}, 100 {BLOCK iron_bar|s}, and 100 {BLOCK wafer|s}.
DEMO boundary                   =In the full game, you can generate infinite worlds
#DEMO boundary - appears when the player reaches the edge of the small play space in the demo
